K;Toricite;Aco;f;nf;I
7,25;0,1;-0,73;-0,08;-0,29;0
7,25;0,15;-1,1;-0,12;-0,44;0
7,25;0,2;-1,48;-0,16;-0,59;0
7,25;0,25;-1,86;-0,2;-0,74;0
7,25;0,3;-2,25;-0,24;-0,9;0
7,25;0,35;-2,64;-0,29;-1,06;0
7,25;0,4;3,04;-0,33;-1,21;0,07
7,25;0,45;-3,44;-0,38;-1,38;0,12
7,25;0,5;-3,85;-0,42;-1,54;0,18
7,25;0,55;-4,27;-0,47;-1,71;0,24
7,25;0,6;-4,69;-0,51;-1,88;0,3
7,25;0,65;-5,12;-0,56;-2,05;0,37
7,25;0,7;-5,56;-0,61;-2,22;0,43
7,25;0,75;-6;-0,65;-2,5;0,49
7,25;0,8;-6,45;-0,7;-2,58;0,56
7,25;0,85;-6,91;-0,75;-2,76;0,62
7,25;0,9;-7,37;-0,8;-2,95;0,46
7,25;0,95;-7,84;-0,85;-3,14;0,52
7,25;1;-8,32;-0,91;-3,33;0,58
7,25;1,05;-8,81;-0,96;-3,52;0,65
7,25;1,1;-9,3;-1,01;-3,72;0,72
7,25;1,15;-9,81;-1,07;-3,92;0,78
7,25;1,2;-10,32;-1,12;-4,13;0,85
7,25;1,25;-10,84;-1,18;-4,33;0,92
7,25;1,3;-11,36;-1,24;-4,55;0,99
7,2;0,1;-0,74;-0,08;-0,3;0
7,2;0,15;-1,11;-0,12;-0,45;0
7,2;0,2;-1,5;-0,16;-0,6;0
7,2;0,25;-1,88;-0,21;-0,75;0
7,2;0,3;-2,28;-0,25;-0,91;0
7,2;0,35;-2,68;-0,29;-1,07;0
7,2;0,4;-3,08;-0,34;-1,23;0,07
7,2;0,45;-3,49;-0,38;-1,4;0,13
7,2;0,5;-3,91;-0,43;-1,56;0,19
7,2;0,55;-4,33;-0,47;-1,73;0,25
7,2;0,6;-4,76;-0,52;-1,9;0,31
7,2;0,65;-5,2;-0,57;-2,08;0,37
7,2;0,7;-5,64;-0,61;-2,26;0,43
7,2;0,75;-6,09;-0,66;-2,44;0,5
7,2;0,8;-6,55;-0,71;-2,62;0,56
7,2;0,85;-7,01;-0,76;-2,8;0,63
7,2;0,9;-7,48;-0,82;-2,99;0,46
7,2;0,95;-7,96;-0,87;3,18;0,53
7,2;1;-8,45;-0,92;-3,38;0,59
7,2;1,05;-8,94;-0,97;-3,58;0,66
7,2;1,1;-9,44;-1,03;-3,78;0,73
7,2;1,15;-9,96;-1,09;-3,98;0,8
7,2;1,2;-10,48;-1,14;-4,19;0,86
7,2;1,25;-11;-1,2;-4,4;0,94
7,2;1,3;-11,54;-1,26;-4,62;1,01
8,3;0,1;-0,55;-0,06;-0,22;0
8,3;0,15;-0,84;-0,09;-0,33;0
8,3;0,2;-1,12;-0,12;-0,45;0
8,3;0,25;-1,41;-0,15;-0,56;0
8,3;0,3;-1,7;-0,19;-0,68;0
8,3;0,35;-2;-0,22;-0,8;0
8,3;0,4;-2,3;-0,25;-0,92;0,05
8,3;0,45;-2,6;-0,28;-1,04;0,1
8,3;0,5;-2,91;-0,32;-1,16;0,14
8,3;0,55;-3,22;-0,35;-1,29;0,19
8,3;0,6;-3,54;-0,39;-1,42;0,23
8,3;0,65;-3,86;-0,42;-1,54;0,28
8,3;0,7;-4,18;-0,46;-1,67;0,33
8,3;0,75;-4,51;-0,49;-1,81;0,38
8,3;0,8;-4,85;-0,53;-1,94;0,43
8,3;0,85;-5,18;-0,56;-2,07;0,47
8,3;0,9;-5,53;-0,6;-2,21;0,35
8,3;0,95;-5,87;-0,64;-2,35;0,4
8,3;1;-6,22;-0,68;-2,49;0,45
8,3;1,05;-6,58;-0,72;-2,63;0,5
8,3;1,1;-6,94;-0,76;-2,78;0,55
8,3;1,15;-7,31;-0,8;-2,92;0,6
8,3;1,2;-7,68;-0,84;-3,07;0,65
8,3;1,25;-8,06;-0,88;-3,22;0,7
8,3;1,3;-8,44;-0,92;-3,38;0,76
